"No","Ch1","Ch2","Ch3","Ch4"
21566,0.175210951072606,0.0785417203436114,0.350452981021634,0.395794347562148
21567,0.0479768988945422,0.33392166870803,0.357491701073626,0.260609731323802
21568,0.286997083943216,0.448447776377361,0.0720192753045014,0.192535864374922
21569,0.486900812731836,0.0740063552470269,0.155968411924813,0.283124420096325
21570,0.107332640696119,0.337501654885645,0.392655270330357,0.162510434087879
21571,0.0875000829051894,0.538410353947449,0.163935952624018,0.210153610523344
21572,0.109640105661812,0.0581328791731372,0.499032422829409,0.333194592335641
21573,0.123936561046563,0.148972356038877,0.170147223067219,0.556943859847342
21574,0.152729110771071,0.303394932267053,0.382127625896112,0.161748331065764
21575,0.0484973093585521,0.0609413731172381,0.55967118292779,0.33089013459642
21576,0.226077130545242,0.194665046186247,0.290711147239248,0.288546676029263
21577,0.253208829518475,0.083276580616214,0.48640111110523,0.177113478760081
21578,0.399942980529573,0.230705995717805,0.132096020485852,0.23725500326677
21579,0.0776615341725562,0.127623617694818,0.183040386678118,0.611674461454508
21580,0.045304316766739,0.479286377251157,0.230326240819044,0.245083065163061
21581,0.412463768799185,0.0585960309226303,0.133012170804467,0.395928029473718
21582,0.112021405870774,0.158387243788019,0.360352289417592,0.369239060923615
21583,0.149348557151327,0.128928562006282,0.228158711319882,0.493564169522509
21584,0.202286873858166,0.255174147827967,0.0680209893145886,0.474517988999278
21585,0.233420398146728,0.235382497457695,0.152555590172371,0.378641514223205
21586,0.222450536801335,0.331304698265595,0.159349657028742,0.286895107904327
21587,0.0573539643397099,0.42172328195539,0.198553937070039,0.322368816634861
21588,0.0400365163762761,0.0748896946217935,0.443088342579513,0.441985446422418
21589,0.205696369252444,0.0606680202884415,0.417019822952061,0.316615787507054
21590,0.039857948556813,0.130626735879475,0.419163547563317,0.410351768000395
21591,0.0558974484588758,0.190581310263824,0.324920575025237,0.428600666252064
21592,0.121840251855347,0.208169651690531,0.0840915452487672,0.585898551205355
21593,0.349343337000348,0.21652141123785,0.126813153193563,0.307322098568239
